Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x810b1e264080	105	-	N/A	False	2025-11-14 10:25:19.000000 UTC	N/A	Disabled
72	4	Registry	0x810b1e354040	4	-	N/A	False	2025-11-14 10:25:02.000000 UTC	N/A	Disabled
312	4	smss.exe	0x810b21257040	2	-	N/A	False	2025-11-14 10:25:19.000000 UTC	N/A	Disabled
412	400	csrss.exe	0x810b2fded140	9	-	0	False	2025-11-14 10:25:43.000000 UTC	N/A	Disabled
480	400	wininit.exe	0x810b365f5080	2	-	0	False	2025-11-14 10:25:43.000000 UTC	N/A	Disabled
488	472	csrss.exe	0x810b365f8140	12	-	1	False	2025-11-14 10:25:43.000000 UTC	N/A	Disabled
548	472	winlogon.exe	0x810b21841080	6	-	1	False	2025-11-14 10:25:43.000000 UTC	N/A	Disabled
572	480	services.exe	0x810b21849080	6	-	0	False	2025-11-14 10:25:43.000000 UTC	N/A	Disabled
580	480	lsass.exe	0x810b2fdee080	9	-	0	False	2025-11-14 10:25:43.000000 UTC	N/A	Disabled
672	480	fontdrvhost.ex	0x810b21b55140	5	-	0	False	2025-11-14 10:25:43.000000 UTC	N/A	Disabled
708	548	fontdrvhost.ex	0x810b21b64140	5	-	1	False	2025-11-14 10:25:44.000000 UTC	N/A	Disabled
748	572	svchost.exe	0x810b21b6b200	24	-	0	False	2025-11-14 10:25:44.000000 UTC	N/A	Disabled
800	572	svchost.exe	0x810b24399280	13	-	0	False	2025-11-14 10:25:44.000000 UTC	N/A	Disabled
888	548	dwm.exe	0x810b36994080	17	-	1	False	2025-11-14 10:25:44.000000 UTC	N/A	Disabled
976	572	svchost.exe	0x810b21edf2c0	14	-	0	False	2025-11-14 10:25:44.000000 UTC	N/A	Disabled
1000	572	svchost.exe	0x810b34915200	77	-	0	False	2025-11-14 10:25:44.000000 UTC	N/A	Disabled
1008	572	svchost.exe	0x810b349172c0	16	-	0	False	2025-11-14 10:25:44.000000 UTC	N/A	Disabled
372	572	svchost.exe	0x810b24ebb240	17	-	0	False	2025-11-14 10:25:44.000000 UTC	N/A	Disabled
952	572	svchost.exe	0x810b288182c0	21	-	0	False	2025-11-14 10:25:45.000000 UTC	N/A	Disabled
1148	572	svchost.exe	0x810b1e277080	17	-	0	False	2025-11-14 10:25:45.000000 UTC	N/A	Disabled
1296	4	MemCompression	0x810b22b78040	82	-	N/A	False	2025-11-14 10:25:45.000000 UTC	N/A	Disabled
1400	572	svchost.exe	0x810b28a212c0	8	-	0	False	2025-11-14 10:25:46.000000 UTC	N/A	Disabled
1528	572	svchost.exe	0x810b22daf2c0	5	-	0	False	2025-11-14 10:25:47.000000 UTC	N/A	Disabled
1552	572	svchost.exe	0x810b22dca2c0	7	-	0	False	2025-11-14 10:25:47.000000 UTC	N/A	Disabled
1576	572	svchost.exe	0x810b22dcf200	6	-	0	False	2025-11-14 10:25:47.000000 UTC	N/A	Disabled
1712	572	spoolsv.exe	0x810b382e2200	8	-	0	False	2025-11-14 10:25:48.000000 UTC	N/A	Disabled
1740	572	svchost.exe	0x810b382d72c0	14	-	0	False	2025-11-14 10:25:48.000000 UTC	N/A	Disabled
1804	572	svchost.exe	0x810b326ca200	26	-	0	False	2025-11-14 10:25:48.000000 UTC	N/A	Disabled
1888	572	svchost.exe	0x810b337c30c0	16	-	0	False	2025-11-14 10:25:49.000000 UTC	N/A	Disabled
1964	572	MsMpEng.exe	0x810b326cc080	28	-	0	False	2025-11-14 10:25:49.000000 UTC	N/A	Disabled
1428	572	SearchIndexer.	0x810b36e6b300	16	-	0	False	2025-11-14 10:25:49.000000 UTC	N/A	Disabled
2296	572	svchost.exe	0x810b369f1080	7	-	0	False	2025-11-14 10:25:53.000000 UTC	N/A	Disabled
2460	1000	sihost.exe	0x810b2fdb3240	9	-	1	False	2025-11-14 10:25:56.000000 UTC	N/A	Disabled
2476	572	svchost.exe	0x810b2fdb52c0	10	-	1	False	2025-11-14 10:25:56.000000 UTC	N/A	Disabled
2536	1000	MicrosoftEdgeU	0x810b2fdd82c0	6	-	0	True	2025-11-14 10:25:57.000000 UTC	N/A	Disabled
2544	1000	taskhostw.exe	0x810b22b362c0	9	-	1	False	2025-11-14 10:25:57.000000 UTC	N/A	Disabled
2712	372	ctfmon.exe	0x810b2b2e4240	11	-	1	False	2025-11-14 10:25:58.000000 UTC	N/A	Disabled
2920	548	userinit.exe	0x810b22bc7300	0	-	1	False	2025-11-14 10:26:00.000000 UTC	2025-11-14 10:26:18.000000 UTC	Disabled
2948	2920	explorer.exe	0x810b22bc9300	59	-	1	False	2025-11-14 10:26:00.000000 UTC	N/A	Disabled
3384	2536	MicrosoftEdgeU	0x810b292e2080	5	-	0	True	2025-11-14 10:26:09.000000 UTC	N/A	Disabled
3616	572	MicrosoftEdgeU	0x810b292df300	8	-	0	True	2025-11-14 10:26:20.000000 UTC	N/A	Disabled
3668	572	svchost.exe	0x810b22bb3080	15	-	0	False	2025-11-14 10:26:22.000000 UTC	N/A	Disabled
3856	572	svchost.exe	0x810b274d72c0	6	-	1	False	2025-11-14 10:26:24.000000 UTC	N/A	Disabled
