Volatility 3 Framework 2.26.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x810b1e2ae310	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1000	svchost.exe	2025-11-14 10:25:45.000000 UTC
0x810b1e2ae310	TCPv6	::	49667	::	0	LISTENING	1000	svchost.exe	2025-11-14 10:25:45.000000 UTC
0x810b1e2ae5d0	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	1712	spoolsv.exe	2025-11-14 10:25:48.000000 UTC
0x810b1e2ae9f0	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	572	services.exe	2025-11-14 10:25:49.000000 UTC
0x810b1e2ae9f0	TCPv6	::	49670	::	0	LISTENING	572	services.exe	2025-11-14 10:25:49.000000 UTC
0x810b1ecba730	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	572	services.exe	2025-11-14 10:25:49.000000 UTC
0x810b2127b010	TCPv4	10.0.2.15	50374	40.74.79.222	443	ESTABLISHED	4396	msedge.exe	2025-11-14 10:34:45.000000 UTC
0x810b21347a20	TCPv4	10.0.2.15	50188	40.74.79.222	443	ESTABLISHED	7500	backgroundTask	2025-11-14 10:33:15.000000 UTC
0x810b213bd4d0	TCPv4	10.0.2.15	50416	203.192.223.209	443	ESTABLISHED	4396	msedge.exe	2025-11-14 10:35:40.000000 UTC
0x810b214ab050	TCPv4	10.0.2.15	50545	69.171.211.201	80	ESTABLISHED	3668	svchost.exe	2025-11-14 10:37:25.000000 UTC
0x810b21825af0	TCPv4	10.0.2.15	49728	4.213.25.240	443	ESTABLISHED	1000	svchost.exe	2025-11-14 10:29:28.000000 UTC
0x810b21b544e0	TCPv4	10.0.2.15	49709	23.9.220.6	80	CLOSED	3128	WWAHost.exe	2025-11-14 10:27:49.000000 UTC
0x810b21d70630	UDPv4	0.0.0.0	54809	*	0		4396	msedge.exe	2025-11-14 10:33:39.000000 UTC
0x810b21d78330	UDPv4	0.0.0.0	59960	*	0		4396	msedge.exe	2025-11-14 10:33:50.000000 UTC
0x810b21d7c340	UDPv4	0.0.0.0	56249	*	0		4396	msedge.exe	2025-11-14 10:34:23.000000 UTC
0x810b21d7f860	UDPv4	0.0.0.0	59759	*	0		4396	msedge.exe	2025-11-14 10:34:19.000000 UTC
0x810b21d8b250	UDPv4	0.0.0.0	62538	*	0		4396	msedge.exe	2025-11-14 10:30:22.000000 UTC
0x810b21d8b570	UDPv4	0.0.0.0	61349	*	0		4396	msedge.exe	2025-11-14 10:34:42.000000 UTC
0x810b21d9de50	UDPv4	0.0.0.0	61263	*	0		4396	msedge.exe	2025-11-14 10:35:37.000000 UTC
0x810b21e72a20	TCPv4	10.0.2.15	50512	69.171.211.201	80	ESTABLISHED	3668	svchost.exe	2025-11-14 10:36:26.000000 UTC
0x810b21ecc050	TCPv4	10.0.2.15	50410	146.75.122.172	80	ESTABLISHED	3668	svchost.exe	2025-11-14 10:35:37.000000 UTC
0x810b224faa90	UDPv4	0.0.0.0	58455	*	0		4396	msedge.exe	2025-11-14 10:35:34.000000 UTC
0x810b224faa90	UDPv6	::	58455	*	0		4396	msedge.exe	2025-11-14 10:35:34.000000 UTC
0x810b22aa4a60	TCPv4	10.0.2.15	50471	69.171.211.201	80	ESTABLISHED	3668	svchost.exe	2025-11-14 10:36:07.000000 UTC
0x810b22bbf010	TCPv4	10.0.2.15	50370	204.79.197.222	443	CLOSED	1392	SearchApp.exe	2025-11-14 10:34:44.000000 UTC
0x810b22d0ba20	TCPv4	10.0.2.15	50478	23.206.173.66	443	ESTABLISHED	2948	explorer.exe	2025-11-14 10:36:18.000000 UTC
0x810b22d16220	TCPv4	10.0.2.15	49708	13.107.9.156	443	CLOSED	3128	WWAHost.exe	2025-11-14 10:27:48.000000 UTC
